2018-02-20-20:59:21, gdax:11050.00000000, koinex:10935.95, ratio:1.03
2018-02-20-21:00:14, gdax:11056.95000000, koinex:10951.38, ratio:.95
2018-02-20-21:02:07, gdax:11074.92000000, koinex:11028.50, ratio:.41
2018-02-20-23:02:49, gdax:10794.70000000, koinex:10028.99, ratio:7.09
2018-02-21-08:52:14, gdax:10620.75000000, koinex:10874.25, ratio:-2.38
2018-02-21-08:53:39, gdax:10629.71000000, koinex:10874.25, ratio:-2.30
2018-02-21-08:53:42, gdax:10629.71000000, koinex:10874.25, ratio:-2.30
2018-02-21-08:53:45, gdax:10629.71000000, koinex:10874.25, ratio:-2.30
2018-02-21-08:53:49, gdax:10629.71000000, koinex:10874.25, ratio:-2.30
2018-02-21-08:53:51, gdax:10629.71000000, koinex:, ratio:
2018-02-21-08:53:53, gdax:10629.71000000, koinex:, ratio:
2018-02-21-08:53:55, gdax:10629.71000000, koinex:, ratio:
2018-02-21-08:53:57, gdax:10629.71000000, koinex:, ratio:
2018-02-21-08:53:59, gdax:10629.71000000, koinex:, ratio:
2018-02-21-08:54:01, gdax:10629.71000000, koinex:, ratio:
2018-02-21-08:54:04, gdax:10629.71000000, koinex:, ratio:
2018-02-21-08:54:06, gdax:10629.71000000, koinex:, ratio:
2018-02-21-08:54:08, gdax:10629.71000000, koinex:, ratio:
2018-02-21-08:54:12, gdax:10629.71000000, koinex:, ratio:
2018-02-21-08:54:14, gdax:10629.71000000, koinex:, ratio:
2018-02-21-08:54:16, gdax:10629.71000000, koinex:, ratio:
2018-02-21-08:54:18, gdax:10629.71000000, koinex:, ratio:
2018-02-21-08:54:20, gdax:10629.71000000, koinex:, ratio:
2018-02-21-08:55:15, gdax:10602.99000000, koinex:10889.68, ratio:-2.70
2018-02-21-08:55:19, gdax:10602.99000000, koinex:10889.68, ratio:-2.70
2018-02-21-08:55:22, gdax:10605.00000000, koinex:10889.68, ratio:-2.68
2018-02-21-08:55:24, gdax:10605.00000000, koinex:, ratio:
2018-02-21-08:55:26, gdax:10605.00000000, koinex:, ratio:
2018-02-21-08:55:46, gdax:10625.00000000, koinex:, ratio:
2018-02-21-08:56:48, gdax:10630.35000000, koinex:10905.10, ratio:-2.58
2018-02-21-08:57:51, gdax:10650.00000000, koinex:10943.66, ratio:-2.75
2018-02-21-08:58:53, gdax:10675.00000000, koinex:10951.38, ratio:-2.58
2018-02-21-08:59:33, gdax:10650.00000000, koinex:10959.09, ratio:-2.90
2018-02-21-09:00:36, gdax:10650.01000000, koinex:10959.09, ratio:-2.90
2018-02-21-09:01:38, gdax:10667.01000000, koinex:10959.09, ratio:-2.73
2018-02-21-09:02:40, gdax:10646.98000000, koinex:10951.38, ratio:-2.85
2018-02-21-09:03:42, gdax:10631.21000000, koinex:10905.10, ratio:-2.57
2018-02-21-09:04:45, gdax:10620.01000000, koinex:10828.07, ratio:-1.95
2018-02-21-09:05:47, gdax:10635.06000000, koinex:10828.07, ratio:-1.81
2018-02-21-09:06:49, gdax:10610.01000000, koinex:10828.07, ratio:-2.05
2018-02-21-09:07:51, gdax:10610.00000000, koinex:10828.07, ratio:-2.05
2018-02-21-09:08:54, gdax:10604.99000000, koinex:10797.21, ratio:-1.81
2018-02-21-09:09:56, gdax:10580.00000000, koinex:10828.07, ratio:-2.34
2018-02-21-09:11:00, gdax:10590.07000000, koinex:10797.13, ratio:-1.95
2018-02-21-09:12:02, gdax:10585.05000000, koinex:10797.13, ratio:-2.00
2018-02-21-09:13:05, gdax:10610.00000000, koinex:10828.07, ratio:-2.05
2018-02-21-09:14:07, gdax:10635.13000000, koinex:10827.98, ratio:-1.81
2018-02-21-09:15:09, gdax:10602.05000000, koinex:10840.35, ratio:-2.24
2018-02-21-09:16:11, gdax:10605.00000000, koinex:10840.35, ratio:-2.21
2018-02-21-09:17:14, gdax:10616.86000000, koinex:10827.98, ratio:-1.98
2018-02-21-09:18:17, gdax:10605.00000000, koinex:10840.35, ratio:-2.21
2018-02-21-09:19:20, gdax:10605.01000000, koinex:10840.35, ratio:-2.21
2018-02-21-09:20:22, gdax:10562.00000000, koinex:10855.80, ratio:-2.78
2018-02-21-09:21:25, gdax:10534.21000000, koinex:10855.80, ratio:-3.05
2018-02-21-09:22:28, gdax:10509.79000000, koinex:10840.35, ratio:-3.14
2018-02-21-09:23:31, gdax:10530.00000000, koinex:10786.31, ratio:-2.43
2018-02-21-09:24:33, gdax:10494.00000000, koinex:10786.31, ratio:-2.78
2018-02-21-09:25:35, gdax:10525.00000000, koinex:10824.91, ratio:-2.84
2018-02-21-09:26:38, gdax:10519.92000000, koinex:10824.91, ratio:-2.89
2018-02-21-10:39:59, gdax:10421.30000000, koinex:10655.05, ratio:-2.24
2018-02-21-11:17:33, gdax:10462.61000000, koinex:10747.69, ratio:-2.72
2018-02-21-11:53:29, gdax:10499.74000000, koinex:10792.30, ratio:-2.78
2018-02-21-12:32:49, gdax:10642.01000000, koinex:10963.89, ratio:-3.02
2018-02-21-13:37:38, gdax:10426.39000000, koinex:10794.03, ratio:-3.52
2018-02-21-14:08:34, gdax:10471.05000000, koinex:10777.81, ratio:-2.92
2018-02-21-14:46:58, gdax:10294.68000000, koinex:10580.94, ratio:-2.78
2018-02-21-15:24:37, gdax:10401.62000000, koinex:10577.85, ratio:-1.69
2018-02-21-15:56:45, gdax:10291.20000000, koinex:10585.67, ratio:-2.86
2018-02-21-16:32:17, gdax:10389.74000000, koinex:10716.72, ratio:-3.14
2018-02-21-16:56:53, gdax:10437.51000000, koinex:10778.59, ratio:-3.26
